Corrupt NEF frames: rectangular blocks of pixels with constant value 4128 present in the
raw data itself (confirmed independently with Siril/libraw and dcraw), probably a camera or
card write error. Two patterns: a 16-column strip at the top (rows 0-118, cols 2416-2431,
1904 px) or rows scattered across the whole frame (~14000 px). Only ISO 100 and ISO 800 series
are affected. frames2stats.py masks these pixels with sigma clipping, so the frames are still
usable. ISO HI0.3 frames were not scanned (not converted to FITS).

111 of 1862 frames affected (ISO 100: 60/98, ISO 800: 49/98)

raw                                  fits                   bad_px  rows / cols
dark_iso800_0-166667s_1.nef          iso800_00057.fit         1904  0-118 / 2416-2431
dark_iso800_0-166667s_2.nef          iso800_00058.fit         1904  0-118 / 2416-2431
dark_iso800_0-1s_1.nef               iso800_00053.fit         1904  0-118 / 2416-2431
dark_iso800_0-1s_2.nef               iso800_00054.fit         1904  0-118 / 2416-2431
dark_iso800_0-25s_1.nef              iso800_00061.fit         1904  0-118 / 2416-2431
dark_iso800_0-25s_2.nef              iso800_00062.fit         1904  0-118 / 2416-2431
dark_iso800_0-2s_1.nef               iso800_00059.fit         1904  0-118 / 2416-2431
dark_iso800_0-2s_2.nef               iso800_00060.fit         1904  0-118 / 2416-2431
dark_iso800_0-333333s_2.nef          iso800_00064.fit         1904  0-118 / 2416-2431
dark_iso800_0-4s_1.nef               iso800_00065.fit         1904  0-118 / 2416-2431
